Height,C_r,del_T,Flow_Vel
10,0.1,2.5,6.63E-05
10,0.1,5,7.93E-05
10,0.1,10,1.08E-04
10,0.1,15,1.35E-04
10,0.1,20,1.50E-04
10,0.25,2.5,1.45E-04
10,0.25,5,1.64E-04
10,0.25,10,2.01E-04
10,0.25,15,2.37E-04
10,0.25,20,2.63E-04
10,0.5,2.5,2.65E-04
10,0.5,5,2.90E-04
10,0.5,10,3.41E-04
10,0.5,15,3.89E-04
10,0.5,20,4.33E-04
10,0.75,2.5,3.82E-04
10,0.75,5,4.12E-04
10,0.75,10,4.71E-04
10,0.75,15,5.28E-04
10,0.75,20,5.84E-04
10,1,2.5,4.98E-04
10,1,5,5.32E-04
10,1,10,5.98E-04
10,1,15,6.63E-04
10,1,20,7.25E-04
10,1.25,2.5,6.11E-04
10,1.25,5,6.49E-04
10,1.25,10,7.22E-04
10,1.25,15,7.93E-04
10,1.25,20,8.62E-04
10,1.5,2.5,7.25E-04
10,1.5,5,7.65E-04
10,1.5,10,8.43E-04
10,1.5,15,9.21E-04
10,1.5,20,9.94E-04
10,1.75,2.5,8.36E-04
10,1.75,5,8.79E-04
10,1.75,10,9.62E-04
10,1.75,15,0.001043
10,1.75,20,0.001121
10,2,2.5,9.44E-04
10,2,5,9.89E-04
10,2,10,0.001077
10,2,15,0.001162
10,2,20,0.001245
10,2.25,2.5,0.001049
10,2.25,5,0.001096
10,2.25,10,0.001188
10,2.25,15,0.001278
10,2.25,20,0.001365
10,2.5,2.5,0.001151
10,2.5,5,0.0012
10,2.5,10,0.001296
10,2.5,15,0.00139
10,2.5,20,0.00148
10,2.75,2.5,0.00125
10,2.75,5,0.001301
10,2.75,10,0.001401
10,2.75,15,0.001498
10,2.75,20,0.001592
10,3,2.5,0.001347
10,3,5,0.001399
10,3,10,0.001503
10,3,15,0.001604
10,3,20,0.001703
10,3.25,2.5,0.001441
10,3.25,5,0.001495
10,3.25,10,0.001602
10,3.25,15,0.001708
10,3.25,20,0.001809
10,3.5,2.5,0.001532
10,3.5,5,0.001588
10,3.5,10,0.0017
10,3.5,15,0.001808
10,3.5,20,0.001912
10,3.75,2.5,0.001621
10,3.75,5,0.001679
10,3.75,10,0.001792
10,3.75,15,0.001902
10,3.75,20,0.002012
10,4,2.5,0.001708
10,4,5,0.001767
10,4,10,0.001883
10,4,15,0.001996
10,4,20,0.002107
10,4.25,2.5,0.001792
10,4.25,5,0.001852
10,4.25,10,0.001971
10,4.25,15,0.002087
10,4.25,20,0.0022
10,4.5,2.5,0.001874
10,4.5,5,0.001936
10,4.5,10,0.002058
10,4.5,15,0.002177
10,4.5,20,0.002293
10,4.75,2.5,0.001954
10,4.75,5,0.002018
10,4.75,10,0.002142
10,4.75,15,0.002265
10,4.75,20,0.002383
10,5,2.5,0.002032
10,5,5,0.002097
10,5,10,0.002225
10,5,15,0.00235
10,5,20,0.002471
20,0.1,2.5,2.15E-04
20,0.1,5,2.31E-04
20,0.1,10,2.62E-04
20,0.1,15,2.93E-04
20,0.1,20,3.23E-04
20,0.25,2.5,4.65E-04
20,0.25,5,4.91E-04
20,0.25,10,5.43E-04
20,0.25,15,5.94E-04
