Height,C_r,del_T,Flow_Vel
20,4.0,10.0,0.00284
20,2.75,10.0,0.002437
20,2.5,2.5,0.002122
30,3.0,2.5,0.002554
30,1.0,20.0,0.00223
30,2.5,5.0,0.002489
10,0.25,20.0,0.000263
10,1.5,15.0,0.000921
20,0.75,15.0,0.001287
10,3.75,15.0,0.001902
20,1.25,20.0,0.001864
30,4.25,2.5,0.00284
20,4.75,10.0,0.003047
10,3.25,20.0,0.001809
30,0.5,20.0,0.001678
20,0.5,15.0,0.000978
30,1.5,5.0,0.002146
30,2.75,5.0,0.002561
30,3.5,15.0,0.003079
20,5.0,15.0,0.003309
30,2.0,20.0,0.00274
20,4.0,5.0,0.002665
10,0.75,15.0,0.000528
10,4.5,2.5,0.001874
20,3.25,2.5,0.002371
10,0.75,10.0,0.000471
10,4.25,5.0,0.001852
20,2.75,2.5,0.002212
20,2.25,2.5,0.002022
20,3.75,15.0,0.002936
10,3.5,15.0,0.001808
10,2.75,2.5,0.00125
30,2.25,2.5,0.00234
10,4.25,2.5,0.001792
20,0.5,10.0,0.000904
10,1.5,5.0,0.000765
20,4.75,2.5,0.002761
30,4.25,10.0,0.00309
30,4.25,20.0,0.003421
20,4.75,20.0,0.003428
20,0.75,20.0,0.001372
10,2.75,10.0,0.001401
10,1.75,10.0,0.000962
10,1.5,20.0,0.000994
10,0.1,5.0,7.93e-05
20,2.5,10.0,0.002339
20,5.0,5.0,0.002917
30,4.0,10.0,0.003037
30,4.25,15.0,0.003256
30,3.5,5.0,0.002757
20,1.5,15.0,0.00194
30,4.5,2.5,0.002886
20,3.0,15.0,0.002681
30,2.25,10.0,0.002552
20,1.75,15.0,0.002101
30,4.75,5.0,0.003014
30,5.0,20.0,0.00356
10,3.5,10.0,0.0017
30,5.0,5.0,0.003051
10,4.75,2.5,0.001954
10,1.25,2.5,0.000611
10,1.75,2.5,0.000836
30,3.25,15.0,0.003011
20,1.5,2.5,0.001639
20,3.25,10.0,0.002611
20,3.75,10.0,0.002767
30,1.5,10.0,0.002272
30,4.75,15.0,0.003352
20,0.1,15.0,0.000293
30,2.25,20.0,0.002836
30,1.5,2.5,0.002083
20,3.75,5.0,0.002596
20,4.75,5.0,0.002856
20,0.25,10.0,0.000543
20,0.75,5.0,0.001104
10,1.0,10.0,0.000598
10,2.0,10.0,0.001077
30,2.25,15.0,0.002694
30,1.5,20.0,0.002526
10,4.5,15.0,0.002177
20,3.25,5.0,0.002451
10,4.25,15.0,0.002087
20,2.25,20.0,0.002505
10,2.5,2.5,0.001151
10,4.0,2.5,0.001708
10,0.1,10.0,0.000108
30,3.0,10.0,0.002783
10,2.5,20.0,0.00148
10,3.25,5.0,0.001495
30,4.0,15.0,0.003201
10,1.25,5.0,0.000649
